,accuracy,mse,log
0,0.8951,0.5589502440778004,1.3415726971737134
1,0.9051,0.5567845478227135,1.3352177745324678
2,0.8969,0.5492136387829439,1.3271915527638931
3,0.8942,0.5692571595298297,1.3693816018672322
4,0.9064,0.5646918461631945,1.3526730299496514
